BOD,sediment,cruc,cruc.mass,cru.cpom,cruc.ash
6,total,24,29.3968,29.6151,29.5773
9,total,22,26.9338,27.1245,27.0916
5,total,8,28.967,29.1847,29.1484
2,total,16,28.8724,89.0148,28.9909
10,total,23,28.8163,28.9968,28.9651
8,total,3,28.0766,28.3278,28.283
3,total,12,28.1249,28.5648,28.3245
1,total,4,27.487,27.6188,27.5968
7,total,6,31.515,31.7399,31.7007
4,total,9,11.6676,11.8628,11.8338
6,surface,8,12.6004,12.6589,12.6503
9,surface,11,11.889,11.9454,11.9378
5,surface,12,11.7826,11.8494,11.8393
2,surface,7,12.1986,12.3018,12.2866
10,surface,6,11.99,12.0891,12.0736
8,surface,5,12.9963,13.0037,13
3,surface,3,13.0671,13.1674,13.1528
1,surface,4,12.2435,12.2532,12.255
7,surface,2,12.6372,12.7221,12.709
4,surface,10,12.9357,13.0144,13.0007
